,에너지(cal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),,흑미,현미,보리,차조,기장,율무,수수,찹쌀,적두,서리태
0,143.6043956,31.09934066,2.884835165,0.535384615,0.025274725,0.898901099,132.7252747,,13.18681319,38.46153846,27.47252747,0,2.197802198,0,2.197802198,16.48351648,0,0
1,146.0347222,31.69701389,2.971944444,0.543125,0.045486111,1.009722222,165.5138889,,19.44444444,20.83333333,30.55555556,0,0,0,8.333333333,13.88888889,3.472222222,3.472222222
2,141.6666667,30.76133333,2.892,0.521333333,0.060666667,1.06,104.2666667,,13.33333333,13.33333333,13.33333333,6.666666667,0,0,13.33333333,26.66666667,6.666666667,6.666666667
3,145.3,31.472,2.9105,0.549,0.0275,0.905,127.35,,10,40,25,0,5,0,5,15,0,0
4,147.0677083,31.94796875,2.980364583,0.514479167,0.037135417,0.941145833,187.265625,,10.41666667,28.64583333,37.5,2.083333333,2.083333333,0,4.166666667,10.41666667,2.083333333,2.604166667
5,133.4444444,28.77,2.716111111,0.502407407,0.027777778,0.942592593,45.11111111,,0,51.85185185,9.259259259,0,0,0,0,29.62962963,0,9.259259259
6,141.0377358,30.69327044,2.869622642,0.446037736,0.039874214,0.929559748,183.3081761,,13.20754717,16.35220126,37.10691824,2.51572327,2.51572327,0,1.886792453,21.3836478,2.51572327,2.51572327
7,141.1007653,30.60478316,2.857869898,0.487130102,0.029068878,0.92002551,172.817602,,0,43.36734694,36.98979592,0,0.382653061,0,0.637755102,17.85714286,0,0.765306122
8,145.7931034,31.61896552,3.037816092,0.491264368,0.059885057,1.24137931,77.18390805,,9.195402299,22.98850575,12.64367816,3.448275862,3.448275862,3.448275862,3.448275862,22.98850575,3.448275862,14.94252874
9,140.382716,30.5017284,2.885555556,0.472839506,0.059382716,1.055555556,120.8641975,,6.172839506,9.87654321,18.51851852,6.172839506,6.172839506,0,12.34567901,24.69135802,3.703703704,12.34567901
10,160.0879121,34.86538462,3.321428571,0.561208791,0.085384615,1.440659341,114.8681319,,7.692307692,15.38461538,14.28571429,7.692307692,4.395604396,5.494505495,14.28571429,15.38461538,7.692307692,7.692307692
11,144.9444444,31.39111111,2.901111111,0.552222222,0.027777778,0.905555556,115.8888889,,16.66666667,33.33333333,22.22222222,0,5.555555556,0,5.555555556,16.66666667,0,0
12,140.8125,30.460625,2.811875,0.543125,0.028125,0.90625,73.1875,,12.5,37.5,12.5,0,6.25,0,6.25,25,0,0
13,123.4,26.948,2.549,0.32,0.076,1.03,52.1,,0,0,0,0,10,0,10,60,10,10
14,144.2647059,31.3,2.908823529,0.512352941,0.029411765,0.914705882,170,,8.823529412,35.29411765,35.29411765,0,2.941176471,0,2.941176471,14.70588235,0,0
15,151.393617,32.85829787,3.092659574,0.54393617,0.05287234,1.168085106,102.3404255,,0,42.55319149,17.0212766,3.191489362,3.191489362,3.191489362,5.319148936,17.0212766,4.255319149,4.255319149
16,143.028169,31.01859155,2.897323944,0.503943662,0.031408451,0.932394366,162.915493,,7.042253521,35.21126761,33.8028169,0,2.816901408,0,2.816901408,15.49295775,0,2.816901408
17,159.5294118,34.76623529,3.311647059,0.526,0.080823529,1.401176471,110.9058824,,8.235294118,16.47058824,15.29411765,8.235294118,4.705882353,5.882352941,8.235294118,16.47058824,8.235294118,8.235294118
18,139.7857143,30.36785714,2.851428571,0.482857143,0.054285714,0.992857143,99.5,,14.28571429,14.28571429,14.28571429,7.142857143,0,0,7.142857143,28.57142857,7.142857143,7.142857143
19,141.35,30.692875,2.86325,0.48425,0.04675,0.93125,87.3875,,8.75,25,12.5,5,5,0,5,25,6.25,7.5
20,141.5581395,30.74023256,2.877209302,0.479534884,0.033488372,0.939534884,177.5348837,,18.60465116,18.60465116,37.20930233,0,2.325581395,0,2.325581395,18.60465116,0,2.325581395
21,157.8571429,34.52857143,3.231428571,0.5,0.08,1.014285714,201.5714286,,14.28571429,0,28.57142857,0,14.28571429,0,14.28571429,0,14.28571429,14.28571429
22,186.7391304,41.04217391,3.832608696,0.585942029,0.127681159,1.582608696,169.4202899,,0,0,14.49275362,21.73913043,11.5942029,8.695652174,21.73913043,0,21.73913043,0
23,133.57,29.2188,2.7517,0.376,0.0893,1.057,74.54,,0,0,0,0,12,0,15,46,15,12
24,150.2168675,32.60337349,3.070361446,0.54060241,0.046144578,1.197590361,122.1204819,,24.09638554,18.07228916,24.09638554,2.409638554,2.409638554,3.614457831,4.819277108,20.48192771,0,0
25,145.2972973,31.60081081,2.965675676,0.485675676,0.044594595,0.975675676,192.9189189,,13.51351351,16.21621622,37.83783784,2.702702703,2.702702703,0,5.405405405,13.51351351,2.702702703,5.405405405
26,151.31,32.8912,3.1014,0.539966667,0.058566667,1.194333333,142.7233333,,15,17.33333333,24.66666667,3.333333333,3.333333333,2.666666667,10,16.66666667,3.333333333,3.666666667
27,153.0985915,33.05450704,3.047746479,0.644366197,0.016197183,0.873239437,116.1830986,,9.85915493,60.56338028,23.94366197,2.816901408,0,0,2.816901408,0,0,0
28,134.2,29.176,2.738,0.412,0.035,0.94,185.7,,0,30,40,0,0,0,0,30,0,0
29,139.7959184,30.44469388,2.855918367,0.423367347,0.037346939,0.935714286,224.9897959,,9.183673469,19.3877551,47.95918367,0,1.020408163,0,0,20.40816327,1.020408163,1.020408163
30,141.2666667,30.58,2.843333333,0.524,0.023333333,0.893333333,124.4666667,,20,33.33333333,26.66666667,0,0,0,0,20,0,0
31,144.18,31.22495,2.90055,0.53545,0.02925,0.895,115.25,,8,44,22.5,1.5,1.5,0,1.5,16,2.5,2.5
32,133.3563218,28.82862069,2.683333333,0.48862069,0.024712644,0.898850575,71.32183908,,10.34482759,40.22988506,14.94252874,0,0,0,0,34.48275862,0,0
33,146.6223404,31.85601064,2.970159574,0.50287234,0.034734043,0.918617021,187.6117021,,10.63829787,29.25531915,38.29787234,2.127659574,2.127659574,0,2.127659574,10.63829787,2.127659574,2.659574468
34,162.9647059,35.61505882,3.225411765,0.575294118,0.066470588,1.014117647,201.8705882,,0,0,27.05882353,0,37.64705882,0,35.29411765,0,0,0
35,143.7816092,31.17126437,2.900344828,0.524367816,0.03183908,0.910344828,129.183908,,19.54022989,28.73563218,25.28735632,0,2.298850575,0,2.298850575,17.24137931,2.298850575,2.298850575
36,156.8695652,34.18391304,3.123913043,0.559565217,0.05,0.965217391,187.5217391,,8.695652174,8.695652174,30.43478261,4.347826087,21.73913043,0,21.73913043,4.347826087,0,0
37,132.1445783,28.61385542,2.675421687,0.459277108,0.032650602,0.930120482,90.96385542,,0,42.1686747,18.07228916,0,0,0,1.204819277,36.14457831,1.204819277,1.204819277
38,143.9918699,31.20634146,2.878699187,0.538699187,0.032195122,0.906504065,94.72357724,,18.69918699,24.3902439,16.2601626,3.25203252,7.317073171,0,7.317073171,21.13821138,0.81300813,0.81300813
39,145.6704545,31.72909091,2.973295455,0.453181818,0.034090909,0.936363636,277.4772727,,3.409090909,28.40909091,60.22727273,0,0,0,0,7.954545455,0,0
40,153.8,33.016,3.018,0.736,0,0.8,2,,20,80,0,0,0,0,0,0,0,0
41,147.4102564,32.06794872,3.029102564,0.478333333,0.050384615,1.126923077,161.5512821,,10.25641026,21.79487179,32.05128205,2.564102564,2.564102564,2.564102564,2.564102564,19.23076923,2.564102564,3.846153846
42,142.9078947,31.01855263,2.875789474,0.499078947,0.030921053,0.907894737,149.3026316,,14.47368421,23.68421053,30.26315789,3.947368421,3.947368421,0,3.947368421,19.73684211,0,0
43,143.7073171,31.12573171,2.887682927,0.534268293,0.030121951,0.895121951,103.5,,13.41463415,36.58536585,19.51219512,2.43902439,2.43902439,0,2.43902439,18.29268293,2.43902439,2.43902439
44,143.4827586,31.15632184,2.908275862,0.493678161,0.035747126,0.922988506,155.4367816,,17.24137931,21.83908046,31.03448276,2.298850575,2.298850575,0,2.298850575,17.24137931,2.298850575,3.448275862
45,144.7083333,31.27652778,2.897777778,0.567916667,0.01875,0.875,110.3194444,,16.66666667,45.83333333,23.61111111,0,0,0,0,13.88888889,0,0
46,151.725,32.680125,3.021125,0.643,0.011875,0.84,60.1625,,0,75,12.5,3.75,2.5,0,0,0,0,6.25
47,168.4545455,36.71090909,3.300909091,0.71,0.081818182,1.136363636,114.1818182,,0,0,0,0,45.45454545,0,54.54545455,0,0,0
48,141.1808511,30.79010638,2.923510638,0.413404255,0.061382979,1.131914894,164.6808511,,9.574468085,9.574468085,30.85106383,2.127659574,2.127659574,2.127659574,3.191489362,29.78723404,5.319148936,5.319148936
49,135.7922078,29.42363636,2.758961039,0.506753247,0.042857143,1.033766234,121.4285714,,12.98701299,22.07792208,22.07792208,0,0,0,10.38961039,32.46753247,0,0
50,155.1935484,33.55645161,3.126451613,0.640967742,0.04,0.877419355,36.83870968,,25.80645161,48.38709677,0,0,0,0,0,0,12.90322581,12.90322581
51,154.2333333,33.36533333,3.159333333,0.598,0.0475,1.29,51.43333333,,13.33333333,41.66666667,8.333333333,0,5,5,5,16.66666667,0,5
52,157.1014493,33.95376812,3.152898551,0.677826087,0.031449275,0.860869565,29.39130435,,79.71014493,0,0,0,0,0,0,0,10.14492754,10.14492754
